date,open,high,low,close,bartype,highs,lows,sh,sl
2025-06-02,77.15,77.825,76.825,77.2,DB,,,,72.975
2025-06-03,77.125,78.275,76.55,76.8,OSB,78.275,,,72.975
2025-06-04,76.85,78.075,76.65,77.25,ISB,,,,72.975
2025-06-05,77.45,77.725,76.15,77.025,DB,,76.15,,72.975
2025-06-06,77.35,79.5,77.2,79.325,DB,,,,72.975
2025-06-09,79.325,79.875,78.65,79.425,DB,,,,76.15
2025-06-10,79.375,80.65,79.225,80.425,DB,,,,76.15
2025-06-11,80.725,81.85,80.45,81.075,DB,81.85,,,76.15
2025-06-12,81.075,81.85,80.8,81.125,ISB,,,,76.15
2025-06-13,81.05,81.75,79.95,81.7,DB,,79.95,,76.15
2025-06-16,82.375,84.275,82.1,84.025,DB,,,,76.15
2025-06-17,84.325,84.725,83.525,83.875,DB,,,,79.95
2025-06-18,84.475,85.125,83.425,84.4,OSB,,,,79.95
2025-06-20,84.4,85.25,83.925,85,DB,,,,79.95
2025-06-23,85.45,85.925,84.825,85.675,DB,85.925,,,79.95
2025-06-24,85.75,85.75,83.375,83.575,DB,,,,79.95
2025-06-25,83.375,84.4,82.75,83.85,DB,,,,79.95
2025-06-26,84.075,84.1,82.775,82.875,ISB,,,,79.95
2025-06-27,81.575,83.125,80.875,82.9,DB,,,,79.95
2025-06-30,81.9,82.1,79.9,80.125,DB,,,85.925,79.95
2025-07-01,80.075,80.65,79.075,79.575,DB,,,85.925,
2025-07-02,79.225,80.975,78.85,80.525,OSB,,,85.925,
2025-07-03,80.05,80.3,78.325,78.725,DB,,,85.925,
2025-07-07,78.375,80.35,78.125,79.725,OSB,,78.125,85.925,
2025-07-08,80.225,80.45,79.075,79.4,DB,80.45,,85.925,
2025-07-09,79.15,80.4,79,79.85,DB,,79,85.925,
2025-07-10,80.075,80.775,78.475,78.85,OSB,80.775,,80.45,78.125
2025-07-11,79.425,80.025,77.175,77.3,DB,,,80.775,78.125
2025-07-14,77.475,77.5,75.325,75.85,DB,,75.325,80.775,
2025-07-15,76.5,76.85,75.375,76.55,ISB,,,80.775,
2025-07-16,77.175,78.1,76.9,77.05,DB,,,80.775,
2025-07-17,77.625,78.7,77.3,78.45,DB,,,80.775,
2025-07-18,79.1,79.225,78.2,79.1,DB,,,80.775,
2025-07-21,79.475,80.05,78.5,79.975,DB,,,80.775,
2025-07-22,80.4,80.675,79.875,80.375,DB,,,80.775,
2025-07-23,80.375,81.2,79.625,81.1,OSB,,,80.775,75.325
2025-07-24,81.075,82.175,80.275,81.3,DB,82.175,,,75.325
2025-07-25,81.125,81.375,79.65,80.8,DB,,,,75.325
2025-07-28,81.2,81.2,80.1,81.075,ISB,,,,75.325
2025-07-29,80.675,80.675,78.525,78.925,DB,,,,75.325
2025-07-30,78.75,79.9,78.225,79.4,DB,,78.225,,75.325
2025-07-31,79.6,80.425,79,79.775,DB,80.425,,,75.325
2025-08-01,79.45,80.6,78.125,80.25,OSB,,78.125,82.175,78.225
2025-08-04,80.525,81.575,80.425,81.1,DB,,,82.175,
2025-08-05,81.1,83.2,81.05,83,DB,,,81.575,78.125
2025-08-06,83.05,83.475,81.475,82.175,DB,83.475,,,78.125
2025-08-07,82.05,82.325,80.525,81.125,DB,,,,78.125
2025-08-08,81.125,81.45,80.475,80.875,DB,,80.475,,78.125
2025-08-11,81,82.175,80.8,81.975,DB,,,,78.125
2025-08-12,82.05,82.725,81.125,81.8,DB,82.725,,,80.475
2025-08-13,81.375,82.1,79.825,80.975,DB,,,82.725,80.475
2025-08-14,80.975,80.975,78.725,79.325,DB,,78.725,82.725,
2025-08-15,79.325,80.65,79.025,80.3,ISB,,,82.725,
2025-08-18,80.5,80.825,79.7,80.325,ISB,,,82.725,
2025-08-19,80.25,80.6,79.5,80.35,ISB,,,82.725,
2025-08-20,79.7,80.75,78.8,80.15,ISB,,,82.725,
2025-08-21,80.25,80.675,79.775,80.125,ISB,,,82.725,
2025-08-22,80.375,82.225,80.2,81.4,DB,,,82.725,
2025-08-25,81.7,82.175,81.125,81.6,ISB,,,82.725,
2025-08-26,81.7,83.75,81.575,83.625,DB,,,82.725,78.725
2025-08-27,83.625,85.025,83.6,84.1,DB,,,,78.725
2025-08-28,83.95,84.675,83.825,84.475,ISB,,,,78.725
2025-08-29,84.625,85.4,84.175,85.225,DB,,,,78.725
2025-09-02,85.4,86.2,85.125,85.75,DB,86.2,,,78.725
2025-09-03,85.75,85.9,83.95,84.025,DB,,83.95,,78.725
2025-09-04,84.45,85.6,84.25,85.225,ISB,,,,78.725
2025-09-05,85.225,87.175,85.1,86.225,DB,,,,78.725
2025-09-08,86.475,86.575,85.3,85.35,ISB,,,,83.95
2025-09-09,85.75,86.6,85.575,86.325,ISB,,,,83.95
2025-09-10,86.05,87.95,86.05,87.025,DB,,,,83.95
2025-09-11,87.225,88.65,87.15,88.375,DB,88.65,,,83.95
2025-09-12,88.475,88.65,86.925,87.325,DB,,86.925,,83.95
2025-09-15,87.95,88.375,87.625,87.725,ISB,,,,83.95
2025-09-16,88.05,89.1,87.4,87.575,OSB,89.1,,,83.95
2025-09-17,87.575,88.1,87.4,87.525,ISB,,,,83.95
2025-09-18,87.525,88,87.275,87.675,DB,,87.275,,83.95
2025-09-19,88.15,88.4,87.575,88.175,DB,,,,86.925
2025-09-22,88.175,89.15,88.1,89,DB,,,,87.275
2025-09-23,89.525,90.775,89.375,90.725,DB,90.775,,,87.275
2025-09-24,90.5,90.575,88,88.125,DB,,,,87.275
2025-09-25,88.5,90.2,87.875,88.625,DB,,87.875,,87.275
2025-09-26,90.5,91.525,89.725,91.05,DB,91.525,,,87.275
2025-09-29,91.2,91.45,90.275,90.35,ISB,,,,87.875
2025-09-30,90,90.475,88.6,88.725,DB,,,,87.875
2025-10-01,88.5,89.125,86.75,86.9,DB,,,91.525,87.875
2025-10-02,86.8,87.05,85.575,86.675,DB,,85.575,91.525,
2025-10-03,86.775,87.6,86.475,87.3,DB,,,91.525,
2025-10-06,87.3,87.8,85.9,87.275,OSB,87.8,,91.525,
2025-10-07,87.025,87.325,85.75,86.175,DB,,,91.525,
2025-10-08,85.5,86.85,85.475,86.1,DB,,,87.8,
2025-10-09,85.85,86.1,84.3,84.35,DB,,,87.8,
2025-10-10,84.25,84.575,83.725,84.025,DB,,83.725,87.8,
2025-10-13,84.525,85.5,84.45,84.85,DB,85.5,,87.8,
2025-10-14,84.175,84.175,82.625,83.15,DB,,82.625,87.8,
2025-10-15,83.35,84.35,83.3,83.6,DB,84.35,,85.5,
2025-10-16,83.1,83.6,82.45,82.6,DB,,,85.5,
2025-10-17,83,83.075,82.1,82.375,DB,,,84.35,
2025-10-20,82.425,82.875,82.05,82.075,DB,,,84.35,
2025-10-21,82.6,84.05,82.025,83.275,OSB,,,84.35,
2025-10-22,82.925,83.125,82.325,82.4,ISB,,,84.35,
2025-10-23,82.375,83,81.725,81.775,DB,,,84.35,
2025-10-24,82.075,82.7,81.675,81.9,DB,,,84.35,
2025-10-27,82.5,82.575,81.275,81.5,DB,,,84.35,
2025-10-28,81.575,82.45,80.475,80.825,DB,,,84.35,
2025-10-29,81.25,82.175,80.65,80.775,ISB,,,84.35,
2025-10-30,80.95,81.35,80.35,80.825,DB,,80.35,84.35,
2025-10-31,81.125,81.675,80.725,81.275,DB,,,84.35,
2025-11-03,81.725,81.725,79.775,80.6,OSB,81.725,,84.35,
2025-11-04,80.6,81.275,79.375,79.925,DB,,,84.35,
2025-11-05,80.1,80.975,79.925,80.6,ISB,,,81.725,
2025-11-06,80.4,81.175,78.875,78.975,OSB,,,81.725,
2025-11-07,79.5,79.975,78.8,79.4,DB,,78.8,81.725,
2025-11-10,80,83.15,80,82.775,DB,,,81.725,78.8
2025-11-11,82.325,83.25,82.3,82.35,DB,83.25,,,78.8
2025-11-12,82,82.275,80.5,80.625,DB,,,,78.8
2025-11-13,80.275,80.4,77.85,78.075,DB,,,83.25,78.8
2025-11-14,78,79.5,77.925,78.5,ISB,,,83.25,
2025-11-17,78.5,79.125,78.35,78.575,ISB,,,83.25,
2025-11-18,78.95,79.475,77.5,77.9,OSB,,77.5,83.25,
2025-11-19,77.8,79.7,77.775,78.85,DB,79.7,,83.25,
2025-11-20,78.55,79.625,78.4,79.475,ISB,,,83.25,
2025-11-21,78.925,78.925,77.625,77.8,DB,,77.625,83.25,